politician_name,party,ticker,transaction_type,amount_range,transaction_date,disclosure_date,asset_description
Nancy Pelosi,D,NVDA,Purchase,$1000001-$5000000,2023-11-22,2024-01-15,NVIDIA Corporation
Dan Crenshaw,R,MSFT,Purchase,$15001-$50000,2023-12-05,2024-01-20,Microsoft Corporation
Tommy Tuberville,R,AAPL,Sale,$50001-$100000,2023-11-30,2024-01-18,Apple Inc
Josh Gottheimer,D,GOOGL,Purchase,$100001-$250000,2023-12-10,2024-01-22,Alphabet Inc Class A
Ro Khanna,D,META,Purchase,$15001-$50000,2023-12-01,2024-01-19,Meta Platforms Inc
Pat Fallon,R,TSLA,Sale,$15001-$50000,2023-11-28,2024-01-17,Tesla Inc
Michael McCaul,R,BA,Purchase,$50001-$100000,2023-12-03,2024-01-21,Boeing Company
Debbie Wasserman Schultz,D,DIS,Purchase,$15001-$50000,2023-12-08,2024-01-23,Walt Disney Company
French Hill,R,JPM,Purchase,$100001-$250000,2023-11-25,2024-01-16,JPMorgan Chase & Co
Rick Scott,R,AMD,Purchase,$250001-$500000,2023-12-12,2024-01-24,Advanced Micro Devices
